rank_position,factor,order_source
0,28,sr_stock2concept_exposure
1,21,sr_stock2concept_exposure
2,22,sr_stock2concept_exposure
3,16,sr_stock2concept_exposure
4,24,sr_stock2concept_exposure
5,1,sr_stock2concept_exposure
6,0,sr_stock2concept_exposure
7,9,sr_stock2concept_exposure
8,27,sr_stock2concept_exposure
9,7,sr_stock2concept_exposure
10,5,sr_stock2concept_exposure
11,26,sr_stock2concept_exposure
12,3,sr_stock2concept_exposure
13,30,sr_stock2concept_exposure
14,2,sr_stock2concept_exposure
15,18,sr_stock2concept_exposure
16,20,sr_stock2concept_exposure
17,13,sr_stock2concept_exposure
18,11,sr_stock2concept_exposure
19,23,sr_stock2concept_exposure
20,25,sr_stock2concept_exposure
21,29,sr_stock2concept_exposure
22,19,sr_stock2concept_exposure
23,4,sr_stock2concept_exposure
24,31,sr_stock2concept_exposure
25,6,sr_stock2concept_exposure
26,8,sr_stock2concept_exposure
27,12,sr_stock2concept_exposure
28,10,sr_stock2concept_exposure
29,14,sr_stock2concept_exposure
30,15,sr_stock2concept_exposure
31,17,sr_stock2concept_exposure
