seed,orig_IC_mean,transpose_IC_mean,delta_IC_mean,orig_ICIR,transpose_ICIR,delta_ICIR,orig_RankIC_mean,transpose_RankIC_mean,delta_RankIC_mean,orig_RankICIR,transpose_RankICIR,delta_RankICIR,orig_sharpe,transpose_sharpe,delta_sharpe
512,0.045676716947675916,0.04392615134496936,-0.0017505656027065539,0.3500315654475926,0.3666089316988899,0.0165773662512973,0.02779906391575631,0.025322333855521056,-0.002476730060235254,0.22048956467432201,0.23987870854405965,0.01938914386973764,1.0829621649138421,1.0882972413927863,0.005335076478944156
23,0.043555990959123256,0.043387542054673385,-0.00016844890444987076,0.3359518566953775,0.3471862977377274,0.011234441042349885,0.013484832930024396,0.012100504037111163,-0.0013843288929132336,0.10027108889974588,0.09295026240079761,-0.007320826498948274,1.0581266680145918,0.9528022839101645,-0.10532438410442724
37,0.043249146039566894,0.04174341362105745,-0.001505732418509445,0.36159136000454606,0.3555961558964141,-0.00599520410813198,0.025994318491986697,0.023549152198283792,-0.0024451662937029044,0.20121204309537857,0.1825025739592126,-0.018709469136165974,1.1253439519368968,1.19687383168497,0.07152987974807323
5,0.043116085074382915,0.04306072827927453,-5.535679510838831e-05,0.38596061347758,0.3964099842982327,0.010449370820652726,0.021301189622375365,0.01980834797382377,-0.001492841648551596,0.18178952879076,0.17249412523518895,-0.009295403555571041,1.2645419436033332,1.1800486818787512,-0.08449326172458194
40,0.04256838619310029,0.04321551406892831,0.0006471278758280186,0.3926289789719908,0.40196802721441,0.009339048242419212,0.017288807054660717,0.013498228591068131,-0.0037905784635925855,0.15285479611172098,0.11889346700624912,-0.033961329105471866,1.15864043894161,1.1177244062246512,-0.04091603271695887
55,0.042439801555570866,0.04226207756992837,-0.00017772398564249586,0.34768364255329337,0.35602092277250125,0.008337280219207877,0.017277205003824007,0.016066738876863804,-0.001210466126960203,0.13935251852115013,0.1363929948022196,-0.002959523718930518,1.1748598610376952,0.9996411772908038,-0.17521868374689142
25,0.042343097882481785,0.04254668011414519,0.0002035822316634045,0.3632811325932089,0.35834546614328294,-0.004935666449925935,0.020612458512529203,0.022393526010891382,0.0017810674983621787,0.20448514171858173,0.22166835900163473,0.017183217283053,1.0586751591233636,1.106518565631464,0.04784340650810037
49,0.04210440288914809,0.04171052835331881,-0.00039387453582927917,0.37916113490777287,0.36311556920055815,-0.016045565707214715,0.027408933239588703,0.024147954021557335,-0.003260979218031368,0.25101242696505155,0.21181092692108885,-0.039201500043962695,1.267673979893397,1.289437629083657,0.021763649190260193
17,0.04202567332351777,0.03794728376199703,-0.004078389561520734,0.3266994868477989,0.28819676578256637,-0.03850272106523256,0.02009437597976908,0.019619669142751425,-0.0004747068370176549,0.15254302984429538,0.14482785542545648,-0.007715174418838899,1.1021866232274797,1.0168139451576097,-0.08537267806987003
79,0.041920305068063254,0.04044632125387199,-0.0014739838141912612,0.3471564358822728,0.3370574615033465,-0.010098974378926318,0.020208579529149402,0.016504477498178217,-0.0037041020309711847,0.15945159231926231,0.13208532633303036,-0.027366265986231958,1.134467614278654,1.1650808528326426,0.030613238553988564
