model,split,n_rows,exact_rows,proxy_rows,missing_rows,IC_mean_mean_5seed,IC_mean_var_5seed_sample,IC_mean_std_5seed_sample,ICIR_mean_5seed,ICIR_var_5seed_sample,RankIC_mean_mean_5seed,RankIC_mean_var_5seed_sample,RankICIR_mean_5seed,RankICIR_var_5seed_sample,sharpe_mean_5seed,sharpe_var_5seed_sample,note
fdg_skip32,official,5,5,0,0,0.05125500966,3.143500719e-05,0.00560669307,0.4503021419,0.001142203927,0.04663336169,2.300036978e-05,0.4133629346,0.002108356317,1.727755559,0.02111555499,
fdg_skip32,recent,5,5,0,0,0.04363326504,1.432664121e-06,0.001196939481,0.3652328749,0.0005704760339,0.0211736424,3.534028333e-05,0.1713234043,0.002202425708,1.137923034,0.006501987423,
fdg_skip32_random,official,5,5,0,0,0.05836631849,1.713248209e-05,0.00413914026,0.4985896001,0.003027901276,0.04777245829,4.722019481e-06,0.432203438,0.001175231852,1.6820654,0.003537286336,
fdg_skip32_random,recent,5,5,0,0,0.04070524188,4.344896015e-06,0.002084441416,0.3510288001,0.0006712730167,0.019272912,7.292416096e-05,0.1758249538,0.005947067926,1.009111113,0.007097538705,
fdg_skip32_symshare,official,5,5,0,0,0.0559831058,1.539510821e-05,0.003923660053,0.473685489,0.001621006088,0.04774163686,2.357529351e-05,0.4345818479,0.00153329923,1.706618212,0.003338797098,
fdg_skip32_symshare,recent,5,5,0,0,0.03776266954,5.075779826e-06,0.00225294914,0.3174849002,0.0004730595202,0.01836627774,0.0001234127727,0.165001989,0.01181752861,1.065161202,0.01963470428,
master,official,5,5,0,0,0.05471725503,1.907068157e-05,0.00436699915,0.5225649203,0.003129617428,0.06088129368,1.97297784e-05,0.5873172027,0.004496195582,,,
master,recent,5,5,0,0,0.07587084212,0.000508642643,0.02255310717,0.7334907766,0.05763134039,0.08386870768,0.0005265174225,0.7713626652,0.05828191994,,,
hist,official,5,5,0,0,0.02680856108,1.350531124e-05,0.003674957311,0.2174160446,0.0009794705551,0.03852539349,2.12934853e-06,0.3034643415,0.0002301400204,,,
hist,recent,5,5,0,0,0.0152368687,2.086772738e-07,0.0004568120772,0.1149290609,2.334072208e-05,0.02797774141,1.763153338e-06,0.2085181017,9.289538598e-05,,,
lstm,official,5,5,0,0,0.03939470266,4.116354252e-05,0.006415882053,0.3685234892,0.006390894832,0.04713604739,7.219765445e-06,0.4616463032,0.001856033823,,,
lstm,recent,5,4,1,0,0.02697087167,7.468959064e-06,0.002732939638,0.2150472746,0.0009555038468,0.03949134326,1.481133176e-05,0.3075036991,0.0002888631103,,,proxy: top_seed 512 -> used_seed 60
lgbm,official,5,5,0,0,0.05559087184,2.974275512e-06,0.0017246088,0.5392871247,0.0005443977038,0.04827864497,6.202454972e-07,0.4785500517,0.0002545148396,,,
lgbm,recent,5,5,0,0,0.03084751498,4.728004202e-06,0.002174397434,0.2682745925,0.0004020436896,0.0153445189,1.586438103e-06,0.1332401138,0.0001206643972,,,
